Wellbore name,q_oil,q_gas,q_wat,q_liq,WC,GOR,AVG_WHP_P,AVG_WHT_P,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,ON_STREAM_HRS,delta_P,BB_pred
15/9-F-1 C,415.547703180212,64647.34982332155,814.1342756183745,1229.6819787985864,0.6620689655172415,155.57142857142856,23.184,73.224,108.192,13.98963,5.66,184.405,270.0240168233036
15/9-F-1 C,402.0,61862.0,664.0,1066.0,0.6228893058161351,153.8855721393035,61.239,62.482,107.795,48.89648,24.0,205.706,266.00888484544186
15/9-F-1 C,207.0,32150.0,1108.0,1315.0,0.8425855513307985,155.31400966183574,31.404,78.309,108.149,54.14206,24.0,220.047,280.00213771658076
15/9-F-1 C,474.0,72530.0,557.0,1031.0,0.5402521823472357,153.0168776371308,60.687,56.308,107.911,48.95931,24.0,199.304,261.90568235233195
15/9-F-1 C,210.0,32735.0,1087.0,1297.0,0.8380878951426368,155.88095238095238,33.216,77.275,108.18,54.17009,24.0,212.439,279.5952891236157
15/9-F-1 C,466.0,71095.0,550.0,1016.0,0.5413385826771654,152.56437768240343,58.591,58.908,107.941,48.94512,24.0,196.073,261.7549945471091
15/9-F-1 C,308.0,47812.0,938.0,1246.0,0.7528089887640449,155.23376623376623,33.304,74.487,108.156,53.73642,24.0,207.776,274.6008629192685
15/9-F-1 C,423.0,64497.0,535.0,958.0,0.558455114822547,152.47517730496455,55.644,58.42,107.055,48.40793,24.0,192.85,262.50232661067014
15/9-F-1 C,293.0,45604.0,791.0,1084.0,0.7297047970479705,155.64505119453923,31.666,72.974,108.07,52.60856,24.0,207.382,272.2544788260075
15/9-F-1 C,421.0,64062.0,544.0,965.0,0.5637305699481865,152.16627078384798,53.772,62.621,107.928,49.02483,24.0,193.389,262.5578592042888
15/9-F-1 C,241.0,37810.0,763.0,1004.0,0.7599601593625498,156.88796680497924,30.466,72.495,108.058,52.71173,24.0,206.324,273.36726342836363
15/9-F-1 C,419.0,63550.0,539.0,958.0,0.5626304801670147,151.6706443914081,51.201,58.068,106.969,48.04527,24.0,191.191,262.9904227567573
15/9-F-1 C,240.0,37455.0,759.0,999.0,0.7597597597597597,156.0625,29.395,71.677,108.041,52.63982,24.0,205.395,273.3918846738796
15/9-F-1 C,420.0,63731.0,468.0,888.0,0.527027027027027,151.7404761904762,50.016,56.411,107.906,49.02818,24.0,192.422,256.1071417306056
15/9-F-1 C,237.0,37227.0,756.0,993.0,0.7613293051359517,157.0759493670886,28.563,61.753,108.023,52.64716,24.0,204.575,273.9562500112539
15/9-F-1 C,410.0,62915.0,474.0,884.0,0.5361990950226244,153.4512195121951,48.565,53.986,107.897,46.80373,24.0,192.219,256.8990732686412
15/9-F-1 C,237.0,36908.0,748.0,985.0,0.7593908629441625,155.72995780590716,28.057,60.883,108.01,52.61857,24.0,203.594,273.86431570493954
15/9-F-1 C,520.0,77679.0,551.0,1071.0,0.5144724556489262,149.3826923076923,49.566,54.728,107.979,50.76397,24.0,188.092,261.64429212950535
15/9-F-1 C,232.0,36516.0,744.0,976.0,0.7622950819672131,157.39655172413794,27.477,68.712,107.995,52.6041,24.0,202.93,273.5705310958738
15/9-F-1 C,653.0,97101.0,619.0,1272.0,0.4866352201257861,148.6998468606432,49.685,62.201,108.072,52.93472,24.0,180.775,260.82292156355464
15/9-F-1 C,298.0,46879.0,657.0,955.0,0.6879581151832461,157.31208053691276,26.896,60.635,107.983,52.61605,24.0,202.43400000000003,270.1593858316879
15/9-F-1 C,638.0,95396.0,702.0,1340.0,0.5238805970149254,149.52351097178683,46.885,64.837,108.035,53.10688,24.0,179.56400000000002,262.52992457226065
15/9-F-1 C,308.0,47840.0,669.0,977.0,0.6847492323439099,155.32467532467533,26.163,64.998,107.969,52.5706,24.0,202.372,269.86950068441485
15/9-F-1 C,625.0,93262.0,672.0,1297.0,0.518118735543562,149.2192,44.022,68.061,108.019,53.24234,24.0,179.722,262.51740674479913
15/9-F-1 C,297.0,47177.0,682.0,979.0,0.6966292134831461,158.84511784511784,26.199,67.606,108.0,53.22883,24.0,201.224,270.31259992128696
15/9-F-1 C,476.0,70962.0,545.0,1021.0,0.5337904015670911,149.07983193277312,41.519,63.3,108.01,53.32469,24.0,180.589,261.9290541387677
15/9-F-1 C,305.0,48861.0,707.0,1012.0,0.6986166007905138,160.2,25.895,70.942,108.018,53.59606,24.0,199.948,270.42208692783083
15/9-F-1 C,410.0,61684.0,479.0,889.0,0.5388076490438695,150.44878048780487,39.35,56.296,107.998,53.27325,24.0,181.787,257.42413021142534
15/9-F-1 C,304.0,48622.0,713.0,1017.0,0.7010816125860374,159.94078947368422,24.974,69.881,108.002,53.54758,24.0,200.214,270.67775239551264
15/9-F-1 C,626.0,92975.0,556.0,1182.0,0.4703891708967851,148.5223642172524,39.396,63.127,108.041,55.83619,24.0,179.89600000000002,259.90934765300824
15/9-F-1 C,327.0,52070.0,717.0,1044.0,0.6867816091954023,159.23547400611622,24.717,70.605,108.021,54.27181,24.0,199.886,270.08082463173764
15/9-F-1 C,941.0,137836.0,771.0,1712.0,0.4503504672897196,146.47821466524974,40.875,74.279,108.177,60.36797,24.0,170.841,255.46402812357172
15/9-F-1 C,338.0,53576.0,741.0,1079.0,0.6867469879518072,158.50887573964496,25.414,72.953,108.081,54.97036,24.0,196.968,270.14059273668465
15/9-F-1 C,738.0,108413.0,623.0,1361.0,0.4577516531961793,146.90108401084012,37.11,68.831,108.164,60.36062,24.0,171.62599999999998,257.5970902854645
15/9-F-1 C,38.0,6203.0,844.0,882.0,0.9569160997732428,163.23684210526315,27.914,57.584,107.557,49.50087,24.0,253.264,283.3265064173527
15/9-F-1 C,216.0,31636.0,1040.0,1256.0,0.8280254777070064,146.46296296296296,38.202,68.475,107.953,51.613,24.0,222.062,278.9227632503344
