Wellbore name,Date of Production,q_oil,q_gas,q_wat,q_liq,WC,GOR,AVG_WHP_P,AVG_WHT_P,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,ON_STREAM_HRS,log_q_liq,log_q_oil,log_q_gas,GLR,dT,delta_P
15/9-F-1 C,2014-05-29,699.0,102824.0,77.0,776.0,0.09922680412371133,147.10157367668097,63.458,56.171,107.962,46.21506,24.0,6.655440350367647,6.551080335043404,11.540783793098624,132.50515463917526,51.791000000000004,156.549
15/9-F-1 C,2014-05-30,704.0,103978.0,78.0,782.0,0.09974424552429667,147.69602272727272,63.335,55.852,107.974,46.23157,24.0,6.663132695990803,6.558197802812269,11.551944234657377,132.96419437340154,52.12200000000001,156.665
15/9-F-1 C,2014-05-31,716.0,105761.0,79.0,795.0,0.09937106918238994,147.7108938547486,63.21,55.596,107.985,46.2074,24.0,6.679599185844383,6.57507584059962,11.568946565648009,133.03270440251572,52.389,156.784
15/9-F-1 C,2014-06-01,724.0,107036.0,80.0,804.0,0.09950248756218906,147.83977900552486,63.142,55.963,107.994,46.26479,24.0,6.690842277418564,6.586171654854675,11.580929848063464,133.12935323383084,52.031,156.864
15/9-F-1 C,2014-06-02,501.8181818181818,74468.72727272728,50.18181818181818,552.0,0.09090909090909091,148.39782608695654,63.79,50.774,107.825,41.7134,22.0,6.315358001522335,6.220228637196308,11.218147976454494,134.90711462450594,57.051,157.538
15/9-F-1 C,2014-06-03,715.0,104866.0,81.0,796.0,0.10175879396984924,146.66573426573427,62.373,53.047,107.965,46.19319,24.0,6.680854678790215,6.573680166960646,11.560448159572696,131.74120603015075,54.918000000000006,157.86700000000002
15/9-F-1 C,2014-06-04,707.0,104234.0,80.0,787.0,0.10165184243964422,147.43140028288542,61.817,53.736,107.961,46.15731,24.0,6.669498089857879,6.56244409369372,11.554403244416537,132.44472681067344,54.225,159.451
15/9-F-1 C,2014-06-05,677.0,99517.0,91.0,768.0,0.11848958333333333,146.99704579025112,62.286,54.245,107.973,47.04157,24.0,6.645090969505644,6.519147287940395,11.508093811308047,129.57942708333334,53.728,158.759
15/9-F-1 C,2014-06-06,690.0,99850.0,92.0,782.0,0.11764705882352941,144.71014492753622,63.076,56.534,107.987,47.2027,24.0,6.663132695990803,6.53813982376767,11.511434353816345,127.6854219948849,51.452999999999996,157.674
15/9-F-1 C,2014-06-07,694.0,100306.0,92.0,786.0,0.11704834605597965,144.53314121037465,63.362,56.615,107.994,47.19411,24.0,6.668228248417403,6.543911845564792,11.51599076214289,127.61577608142494,51.379,157.278
15/9-F-1 C,2014-06-08,691.0,99959.0,91.0,782.0,0.11636828644501279,144.65846599131694,63.319,52.051,108.003,47.15202,24.0,6.663132695990803,6.539585955617669,11.512525384948889,127.82480818414322,55.952,157.185
15/9-F-1 C,2014-06-09,292.9230769230769,42973.53846153846,34.46153846153846,327.38461538461536,0.10526315789473685,146.7058823529412,62.337,53.559,107.757,38.97891,19.5,5.794185529296425,5.683318089985363,10.668363090496776,131.26315789473685,54.19800000000001,159.11399999999998
15/9-F-1 C,2014-06-10,647.0,95262.0,85.0,732.0,0.11612021857923498,147.23647604327667,62.777,54.486,107.991,46.51253,24.0,6.597145701886651,6.473890696352274,11.46439676661563,130.13934426229508,53.505,158.075
15/9-F-1 C,2014-06-11,746.0,108793.0,94.0,840.0,0.11190476190476191,145.83512064343162,61.73,54.295,108.065,47.81521,24.0,6.734591659972948,6.616065185132817,11.5972114648245,129.5154761904762,53.769999999999996,156.685
15/9-F-1 C,2014-06-12,805.0,116555.0,102.0,907.0,0.11245865490628446,144.7888198757764,59.938,61.561,108.139,48.72777,24.0,6.811244378601294,6.692083742506628,11.66612712319033,128.50606394707827,46.577999999999996,155.55900000000003
15/9-F-1 C,2014-06-13,819.0,120308.0,57.0,876.0,0.06506849315068493,146.8962148962149,60.138,62.327,108.135,48.26392,24.0,6.776506992372183,6.709304340258298,11.697818712132001,137.337899543379,45.80800000000001,154.685
15/9-F-1 C,2014-06-14,781.0,115374.0,54.0,835.0,0.06467065868263473,147.72599231754162,60.235,59.584,108.105,48.00591,24.0,6.728628613084702,6.661854740545311,11.655942971805153,138.17245508982035,48.521,155.598
15/9-F-1 C,2014-06-15,786.0,116058.0,55.0,841.0,0.06539833531510107,147.65648854961833,59.92,60.774,108.114,48.04032,24.0,6.7357800142423265,6.668228248417403,11.661853961474497,138.0,47.34,154.957
15/9-F-1 C,2014-06-16,757.0,111153.0,52.0,809.0,0.06427688504326329,146.8335535006605,60.048,59.445,108.088,47.74037,24.0,6.697034247666484,6.630683385642372,11.61867190614922,137.3955500618047,48.642999999999994,155.333
15/9-F-1 C,2014-06-17,727.0,107051.0,51.0,778.0,0.06555269922879177,147.2503438789546,60.14,58.607,108.067,47.62397,24.0,6.658011045870748,6.590301048196686,11.581069976701784,137.59768637532133,49.459999999999994,155.97899999999998
15/9-F-1 C,2014-06-18,724.0,106457.0,51.0,775.0,0.06580645161290323,147.04005524861878,59.787,58.662,108.066,47.63986,24.0,6.654152520183219,6.586171654854675,11.575505820151635,137.36387096774195,49.404,156.197
15/9-F-1 C,2014-06-19,715.0,105828.0,53.0,768.0,0.06901041666666667,148.01118881118882,59.44,57.55,108.066,47.60717,24.0,6.645090969505644,6.573680166960646,11.56957986292662,137.796875,50.516000000000005,156.37800000000001
