actual,predicted_mean,predicted_std,CI_lower_2.5,CI_upper_97.5
158.864,158.4645233333333,0.2021569261462203,158.164675,158.7362
182.394,181.83534333333324,2.51547974326745,177.257,185.718
202.828,203.31886333333318,2.5239254541267444,198.027775,207.21002499999997
166.34,166.61341999999993,0.3787805832756838,166.135,167.248
201.428,199.868716666667,2.1709774318776818,196.042,201.829975
152.72,152.70783000000037,0.8300906904870892,152.358,153.216
200.46800000000002,201.2735866666666,1.5492808640857303,198.939775,203.972
160.757,161.93239333333312,2.734054969934257,160.15200000000002,169.00300000000001
202.377,202.5002100000003,0.6342977685861256,201.471,203.465
208.544,206.18790333333368,2.3086881586712606,202.80294999999998,210.75775
178.643,179.80191666666622,1.4973365652792354,177.669,182.372875
223.4,223.47701000000006,1.0730148973336735,220.4253,224.29405000000003
196.753,195.99008333333313,2.0023772396135096,189.094,197.551
229.581,229.46247999999977,0.44716762285895956,228.837,229.64899999999997
216.056,216.54389666666668,1.6450969533704989,215.23499999999999,220.66709999999995
212.4,212.04370666666583,2.426240938974432,204.56300000000002,214.00269999999998
226.61800000000002,226.1811800000002,1.7808266959289796,223.38500000000002,229.25162499999993
155.86400000000003,156.26736666666645,6.9963589444002166,151.311475,166.60205
155.221,155.51698333333323,0.35913030558404435,155.036,156.61100000000002
237.37,237.38787333333337,0.09705539975819114,237.21165000000002,237.49900000000002
163.917,163.88567999999992,1.1101903759866323,163.394,165.42757500000002
204.28699999999998,204.4787099999995,0.4570580188189074,203.579,204.853
171.409,170.90245666666695,2.0661564448968757,167.15294999999998,174.72312499999998
184.949,187.91519333333343,7.862120414745352,180.91899999999998,208.00817499999997
230.76999999999998,230.36342999999985,0.31641354548544326,229.679,230.65720000000002
182.091,182.51418999999964,2.3845942591071236,182.11700000000002,183.50099999999998
195.6,195.9544066666664,0.8238672150022437,195.169325,197.256725
189.066,203.31322666666654,14.961306774096377,178.946,221.40857499999998
191.23,190.68629999999965,2.075527597985632,184.038175,191.25699999999998
190.8,190.35100333333295,3.207651392632244,182.89274999999998,198.0944249999999
157.80800000000002,157.748843333333,0.613332834157411,157.009,158.901
163.404,164.0037933333332,0.4828271436261896,163.522,164.65015
171.329,170.80273333333298,1.05405813670573,169.026725,172.369
203.634,203.8774466666666,0.8351122282796589,202.39299999999997,206.98719999999997
205.18,208.6362000000002,3.877337062985365,202.688,217.109375
179.137,179.24991333333378,2.7782325939025037,169.55125,181.587
207.55200000000002,206.9718033333329,1.2757128064950811,203.576375,208.007
162.278,171.42501000000001,9.24581161661322,160.15200000000002,190.56885
184.389,185.5190800000008,3.671945470764335,182.648225,198.48547499999998
159.87,161.97687666666647,4.68516825682802,159.57,175.893
234.158,234.24256000000008,0.38894675693896275,233.25799999999998,234.65200000000002
191.546,191.3684000000002,1.4775884000627497,189.053675,192.241
200.51399999999998,201.0504133333336,5.542565543364272,193.921,220.45989999999995
226.921,224.0578300000002,7.431024188344879,211.75799999999998,234.30899999999997
238.84,238.8498166666669,0.04404523873877791,238.83899999999997,238.942
227.00400000000002,226.90773666666743,0.6327730456666297,225.8918,227.107
152.49,153.39194666666683,2.4677871296275824,149.63400000000001,161.06747499999994
197.317,197.11320000000012,0.6122150711419398,195.691,197.876125
238.52499999999998,238.9414066666667,0.2401835713689731,238.399,239.226675
176.973,178.5489666666667,8.274670328511915,171.97199999999998,202.466425
198.632,195.9085966666668,3.815522728799925,193.055,202.40499999999997
205.42499999999998,204.44179999999974,1.6520458064674444,201.22359999999998,206.511
237.63799999999998,237.73405000000042,0.8763947326975362,236.20792500000002,239.864625
166.905,165.33455333333367,3.784569496497877,159.67185,172.48127499999998
236.952,236.35940333333332,0.5705058871933109,235.863,237.675625
196.772,199.6815700000005,5.373825289161652,193.921,219.281
197.37900000000002,194.82994000000002,12.219139554938659,177.605,219.706
225.915,226.14405666666633,2.350437234527979,222.66084999999998,233.644
172.87099999999998,173.19752999999983,0.973809506919433,172.091,174.862825
