Date of Production,Wellbore name,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE,q_oil,q_gas,q_wat,q_liq,WC,GOR,GLR,ln_qliq,ln_qoil,ln_qgas,dT,choke_pct,delta_P_measured,cv_qliq,delta_P_baseline,residual,well_short
2016-04-03,15/9-F-14 H,24.0,267.798,99.58,239.239,22.204,100.0,%,28.559,87.554,1.625,103.0,16803.0,3060.0,,production,OP,103.0,16803.0,3060.0,3163.0,0.9674359785014227,163.1359223300971,5.312361681947518,8.059276223305648,4.634728988229636,9.729312720877942,12.025999999999996,100.0,239.239,0.0091326262244512,376.5028674850267,-137.26386748502668,F-14 H
2016-04-04,15/9-F-14 H,24.0,267.489,99.58,239.178,22.252,100.0,%,28.311,88.147,1.66,103.0,16703.0,3245.0,,production,OP,103.0,16703.0,3245.0,3348.0,0.9692353643966547,162.16504854368932,4.9889486260454,8.116118431609365,4.634728988229636,9.723343622989947,11.432999999999993,100.0,239.17799999999997,0.02053258000495737,389.60832318860514,-150.43032318860517,F-14 H
2016-04-05,15/9-F-14 H,24.0,267.325,99.582,239.204,22.196,100.0,%,28.121,87.669,1.635,102.0,16781.0,3108.0,,production,OP,102.0,16781.0,3108.0,3210.0,0.9682242990654205,164.51960784313727,5.22772585669782,8.07402621612406,4.624972813284271,9.728002573001161,11.912999999999997,100.0,239.20399999999998,0.020429962711078987,379.78079923757474,-140.57679923757476,F-14 H
2016-04-06,15/9-F-14 H,22.83,275.786,99.498,240.459,21.492,65.90897,%,35.327,82.958,8.745,77.0,12889.0,2426.0,,production,OP,80.946123521682,13549.540078843627,2550.328515111695,2631.274638633377,0.9692369157011587,167.3896103896104,5.1494206951658015,7.8752236612380155,4.393783791659925,9.514107883211022,16.540000000000006,65.90897,240.459,0.07268405545825744,344.42783682234574,-103.96883682234574,F-14 H
2016-04-07,15/9-F-14 H,24.0,269.384,99.55,239.418,22.057,76.53764,%,29.966,87.772,3.902,94.0,15158.0,2972.0,,production,OP,94.0,15158.0,2972.0,3066.0,0.969341161121983,161.25531914893617,4.943900848010437,8.028129059431759,4.543294782270004,9.626283724371975,11.777999999999992,76.53764,239.418,0.0728062724062561,370.66012407580513,-131.24212407580512,F-14 H
2016-04-08,15/9-F-14 H,24.0,266.614,99.589,238.954,22.322,100.0,%,27.66,88.594,1.799,119.0,19607.0,3282.0,,production,OP,119.0,19607.0,3282.0,3401.0,0.9650102910908557,164.76470588235293,5.765069097324316,8.131824785007195,4.77912349311153,9.883641924315421,10.995000000000005,100.0,238.95399999999998,0.0803133482830651,392.4255867382201,-153.4715867382201,F-14 H
2016-04-09,15/9-F-14 H,24.0,266.66,99.59,239.147,22.208,100.0,%,27.512,87.492,1.67,116.0,19096.0,3247.0,,production,OP,116.0,19096.0,3247.0,3363.0,0.9655069878085043,164.6206896551724,5.67826345524829,8.12058871174027,4.7535901911063645,9.857234168018666,12.097999999999999,100.0,239.14800000000002,0.08398433311797115,389.81668991156823,-150.6686899115682,F-14 H
2016-04-10,15/9-F-14 H,24.0,266.603,99.599,239.087,22.152,100.0,%,27.516,87.479,1.686,115.0,18799.0,3213.0,,production,OP,115.0,18799.0,3213.0,3328.0,0.9654447115384616,163.4695652173913,5.648737980769231,8.1101268019411,4.74493212836325,9.841558955913962,12.120000000000005,100.0,239.08700000000002,0.085436433263545,387.35764555570853,-148.2706455557085,F-14 H
2016-04-11,15/9-F-14 H,24.0,266.555,99.59,239.007,22.279,100.0,%,27.548,87.988,1.708,113.0,18754.0,3204.0,,production,OP,113.0,18754.0,3204.0,3317.0,0.96593307205306,165.9646017699115,5.653904130238167,8.106816038947052,4.727387818712341,9.83916234197957,11.602000000000004,100.0,239.007,0.08470569974553846,386.6065272239749,-147.59952722397492,F-14 H
2016-04-12,15/9-F-14 H,24.0,266.515,99.588,238.976,22.283,100.0,%,27.539,88.107,1.703,109.0,18147.0,3195.0,,production,OP,109.0,18147.0,3195.0,3304.0,0.9670096852300242,166.4862385321101,5.4924334140435835,8.102889134640868,4.6913478822291435,9.806260536775024,11.480999999999995,100.0,238.976,0.08547095023313439,385.90325263165283,-146.92725263165283,F-14 H
2016-04-13,15/9-F-14 H,24.0,266.47,99.59,238.93,22.293,100.0,%,27.539,88.034,1.696,109.0,18047.0,3167.0,,production,OP,109.0,18047.0,3167.0,3276.0,0.9667277167277167,165.56880733944953,5.508852258852259,8.09437844497296,4.6913478822291435,9.800734744961298,11.555999999999997,100.0,238.93100000000004,0.03286550015864513,383.9204190741543,-144.98941907415428,F-14 H
2016-04-14,15/9-F-14 H,24.0,266.424,99.599,238.865,22.364,100.0,%,27.559,88.572,1.708,110.0,17906.0,3165.0,,production,OP,110.0,17906.0,3165.0,3275.0,0.966412213740458,162.78181818181818,5.467480916030534,8.094073148069352,4.700480365792417,9.792891131194102,11.027000000000001,100.0,238.86499999999998,0.013798388551983246,383.8616790918115,-144.9966790918115,F-14 H
2016-04-15,15/9-F-14 H,24.0,266.373,99.599,238.826,22.307,100.0,%,27.547,88.323,1.692,107.0,17733.0,3159.0,,production,OP,107.0,17733.0,3159.0,3266.0,0.9672382118799755,165.7289719626168,5.429577464788732,8.09132127353041,4.672828834461906,9.78318258949248,11.27600000000001,100.0,238.826,0.010552951797260415,383.32731279687727,-144.50131279687727,F-14 H
2016-04-16,15/9-F-14 H,24.0,266.338,99.607,238.799,22.3,100.0,%,27.539,88.414,1.695,113.0,21902.0,3259.0,,production,OP,113.0,21902.0,3259.0,3372.0,0.9664887307236062,193.8230088495575,6.495255041518386,8.123261319121745,4.727387818712341,9.994333235835704,11.192999999999998,100.0,238.79900000000004,0.011335701784828157,389.8497846676174,-151.0507846676174,F-14 H
2016-04-17,15/9-F-14 H,24.0,265.892,99.62,238.707,22.288,100.0,%,27.185,87.718,1.696,117.0,21845.0,3284.0,,production,OP,117.0,21845.0,3284.0,3401.0,0.9655983534254631,186.7094017094017,6.423110849750073,8.131824785007195,4.762173934797756,9.991727341385536,11.902000000000001,100.0,238.707,0.015712569322938127,391.9271569838529,-153.22015698385292,F-14 H
2016-04-18,15/9-F-14 H,24.0,266.836,99.619,238.757,22.242,94.13128,%,28.079,87.187,2.369,98.0,17562.0,3331.0,,production,OP,98.0,17562.0,3331.0,3429.0,0.9714202391367746,179.20408163265307,5.121609798775153,8.14002395246292,4.584967478670572,9.773492755919941,12.432000000000002,94.13128,238.757,0.020243165015776943,395.4101346575794,-156.65313465757941,F-14 H
2016-04-19,15/9-F-14 H,24.0,268.529,99.596,238.801,22.104,78.28967,%,29.728,87.919,3.928,112.0,18438.0,3026.0,,production,OP,112.0,18438.0,3026.0,3138.0,0.964308476736775,164.625,5.875717017208413,8.051340933292979,4.718498871295094,9.82216903135854,11.677000000000007,78.28967,238.801,0.03026943715649712,374.1379750730096,-135.33697507300963,F-14 H
2016-04-20,15/9-F-14 H,24.0,266.049,99.621,238.525,22.376,100.0,%,27.524,88.272,1.712,116.0,19842.0,3187.0,,production,OP,116.0,19842.0,3187.0,3303.0,0.9648804117468968,171.05172413793105,6.007266121707539,8.10258642539079,4.7535901911063645,9.895556182209848,11.34899999999999,100.0,238.52499999999998,0.029953760447537052,385.236985942139,-146.711985942139,F-14 H
2016-04-21,15/9-F-14 H,24.0,266.024,99.626,238.502,22.335,100.0,%,27.522,88.343,1.711,112.0,17550.0,3174.0,,production,OP,112.0,17550.0,3174.0,3286.0,0.9659160073037127,156.69642857142858,5.340839926962873,8.097426298597213,4.718498871295094,9.772809228894012,11.283000000000001,100.0,238.502,0.029758951870357556,384.69700147048263,-146.19500147048262,F-14 H
2016-04-22,15/9-F-14 H,21.0,272.787,99.553,239.589,21.428,63.74319,%,33.198,83.99,7.462,78.0,11703.0,2400.0,,production,OP,89.14285714285714,13374.857142857143,2742.8571428571427,2832.0,0.9685230024213074,150.03846153846155,4.7227602905569,7.94873845481361,4.490240219314114,9.50113189079929,15.563000000000002,63.74319,239.58899999999997,0.06415334472617545,356.4187419779148,-116.82974197791484,F-14 H
2016-04-23,15/9-F-14 H,24.0,265.753,99.643,238.202,22.216,100.0,%,27.551,87.936,1.735,111.0,17782.0,3284.0,,production,OP,111.0,17782.0,3284.0,3395.0,0.9673048600883652,160.19819819819818,5.237702503681885,8.130059039992796,4.709530201312334,9.785941988681085,11.706999999999994,100.0,238.202,0.06481998784356063,392.5588884242555,-154.3568884242555,F-14 H
